지점,지점명,위도,경도
90,속초,38.2035,128.5798
95,철원,38.1440,127.3133
100,대관령,37.6709,128.3000
104,북강릉,37.9190,128.8775
105,강릉,37.7506,128.8761
106,동해,37.5053,129.1173
114,원주,37.3514,127.9294
121,영월,37.3031,128.1469
140,군산,35.9858,126.6203
146,전주,35.8219,127.1530
152,울산,35.5388,129.3114
155,창원,35.2281,128.6811
156,광주,35.1595,126.8521
159,부산,35.1796,129.0756
162,통영,34.8479,128.4348
165,목포,34.8108,126.3903
168,여수,34.7594,127.6628
169,흑산도,34.6983,125.9811
172,고창,35.5333,126.4833
174,순천,34.9436,127.5234
177,홍성,36.5994,126.6644
184,제주,33.5133,126.5219
185,고산,33.2333,126.3167
188,성산,33.4667,126.9333
189,서귀포,33.2500,126.5667
192,진주,35.1797,128.1107
201,강화,37.7478,126.4872
202,양평,37.4922,127.4914
203,이천,37.2686,127.4293
211,인제,38.0733,128.2628
212,홍천,37.6972,127.8856
216,태백,37.1667,128.9833
217,정선군,37.3833,128.2000
221,제천,37.1444,128.2147
226,보은,36.4978,127.5708
232,천안,36.8151,127.1139
235,보령,36.3500,126.6167
236,부여,36.2789,126.9239
238,금산,36.1111,127.3083
239,세종,36.4800,127.2892
243,부안,35.7333,126.7333
244,임실,35.6167,127.2833
245,정읍,35.6000,126.8667
247,남원,35.4167,127.3833
248,장수,35.6167,127.4333
251,고창군,35.5333,126.4833
253,김해시,35.2333,128.8833
254,순창군,35.3833,126.9833
255,북창원,35.2667,128.6667
257,양산시,35.3333,129.0333
258,보성군,34.7667,127.0833
259,강진군,34.4000,126.7833
260,장흥,34.6667,126.5667
261,해남,34.5667,126.6167
262,고흥,34.6167,127.2833
263,의령군,35.3167,128.2667
264,함양군,35.5167,127.3833
266,광양시,34.8833,127.7000
268,진도군,34.4833,126.2833
271,봉화,36.6167,128.7333
272,영주,36.8000,128.5167
273,문경,36.6667,128.1833
276,청송군,36.4333,129.1167
277,영덕,36.4167,129.3833
278,의성,36.3833,128.6667
279,구미,36.1167,128.3333
281,영천,36.2667,128.7667
283,경주시,35.8667,129.2667
284,거창,35.6833,128.0167
285,합천,35.5667,128.1500
288,밀양,35.5000,128.7500
289,산청,35.4000,127.8833
294,거제,34.8667,128.6333
295,남해,34.8333,128.1667
127,충주,36.9833,127.9500
129,서산,36.6833,126.4833
130,울진,36.7333,129.4167
131,청주,36.6333,127.4833
133,대전,36.3500,127.3833
135,추풍령,36.6500,127.6167
136,안동,36.5667,128.7167
137,상주,36.4167,128.1667
138,포항,36.0167,129.3500
143,대구,35.8833,128.6167
